RTG BOY,Visible carpal bones,Radius,First metacarpal,Distal phalang of fifth finger,os lunatum (6),os trapezium (1),os trapeziodeum (2),group
0_8_b,2,1,1,1,1,1,1,1
0_10_b,2,1,1,1,1,1,1,1
1_0_b,2,1,1,1,1,1,1,1
1_2_b,2,1,1,1,1,1,1,1
1_4_b,2,2,1,1,1,1,1,2
1_6_b,2,3,1,1,1,1,1,2
1_8_b,2,3,1,1,1,1,1,2
2_0_b,2,3,1,1,1,1,1,2
2_4_b,3,4,1,1,1,1,1,3
2_6_b,3,5,2,1,1,1,1,3
3_0_b,4,5,2,2,2,1,1,4
3_6_b,4,6,3,3,2,1,1,4
4_0_b,4,6,3,4,3,1,1,5
4_6_b,5,6,3,4,3,2,1,6
5_0_b,5,6,4,5,3,3,2,6
5_6_b,6,6,4,5,3,3,3,7
6_0_b,7,7,5,6,4,3,3,8
7_0_b,7,7,5,6,5,4,3,9
8_0_b,7,7,5,7,5,4,3,10
9_0_b,7,7,6,7,5,4,4,10
10_0_b,7,7,6,7,5,4,4,10
11_0_b,7,7,7,7,6,5,5,11
12_0_b,7,7,7,7,6,5,5,11
13_0_b,7,8,7,7,6,6,6,12
14_0_b,7,8,8,7,6,7,6,12
15_0_b,7,8,8,8,7,7,6,12
16_0_b,7,8,9,8,7,8,7,13
17_0_b,7,9,9,9,8,8,8,13
18_0_b,7,9,9,9,9,9,9,13
